name,zip
E 163 St & Union Ave,10459
10 St & 5 Ave,11215
Vernon Blvd & Queens Plaza S,11101
65 St & 35 Ave,11377
72 St & 41 Ave,11377
N 6 St & Bedford Ave,11249
Oakland Ave,7306
5 Ave & E 72 St,10021
Graham Ave & Conselyea St,11211
Caton Ave & E 10 St,11218
Tiebout Ave & E Fordham Road,10458
35 Ave & 37 St,11101
State St & Smith St,11201
Allen St & Rivington St,10002
E 10 St & 2 Ave,10003
Grand St & Greene St,10013
Canal St & Rutgers St,10002
Grand St & Elizabeth St,10012
Pacific St & Smith St,11201
Leonard St & Church St,10013
Newport Pkwy,7310
8 Ave & W 31 St,10001
43 St & Skillman Ave,11104
Central Ave & Melrose St,11206
E Mosholu Pkwy & E 204 St,10458
Adam Clayton Powell Blvd & W 115 St,10026
St Mary's St & Jackson Ave,10454
Grand St,10002
4 Ave & Shore Road Dr,11220
E 174 St & Longfellow Ave,10460
Townsend Ave & E 175 St,10453
Clermont Ave & Park Ave,11205
35 St & Broadway,10018
Borden Ave & Review Ave,11101
Decatur Ave & E 197 St,10458
River Ave & McClellan St,10452
47 Ave & Skillman Ave,11101
3 Ave & E 169 St,10456
City Hall,7302
W 204 St & Vermilyea Ave,10034
Decatur Ave & Oliver Pl,10458
Church Sq Park - 5 St & Park Ave,7030
Meserole Ave & Manhattan Ave,11222
Carroll St & Bond St,11231
E 170 St & Webster Ave,10456
Howard St & Lafayette St,10013
Irving Ave & DeKalb Ave,11237
30 St & 48 Ave,11101
E 167 St & Clay Ave,10456
South Waterfront Walkway - Sinatra Dr & 1 St,7030
Cherry St,10002
Montrose Ave & Bushwick Ave,11206
Peck Slip & South St,10038
Broadway & E 19 St,10003
Main St & Plymouth St,11201
E 6 St & 2 Ave,10003
Nassau Ave & Russell St,11222
E 17 St & Broadway,10003
Washington Pl & 6 Ave,10011
College Ave & E 169 St,10456
28 Ave & 44 St,11103
Astor Place,7304
Jersey & 6th St,7302
52 St & 6 Ave,11220
Dyckman St & 10 Ave,10034
Myrtle Ave & 65 St,11385
64 St & Woodbine St,11385
Steinway St & 21 Ave,11105
Great Jones St,10012
Clinton St & 7 St,7030
Pershing Field,7307
Riverview Park,7307
49 St & 31 Ave,11377
Aqueduct Ave & North St,10468
Lincoln Park,7304
Albany Ave & Winthrop St,11203
Edgecombe Ave & W 141 St,10030
E 138 St & Grand Concourse,10451
Aqueduct Ave & W 190 St,10468
Chester Ave & 12 Ave,11218
Andrews Ave S & W 179 St,10453
51 St & Hobart St,11377
9 Ave & W 204 St,10034
Longfellow Ave & E 165 St,10459
Evergreen Ave & Noll St,11206
Jerome Ave & W Fordham Rd,10468
Bronx Shore Comfort Station,10035
E 76 St & Park Ave,10021
Astoria Park S & Shore Blvd,11102
Warren St & Court St,11201
E 103 St & Lexington Ave,10029
Lexington Ave & E 127 St,10035
Stagg St & Union Ave,11211
Albee Square W & Fulton St,11201
Harrison St & Hudson St,10013
Congress St & Clinton St,11201
12 Ave & W 40 St,10036
Nassau St & Navy St,11205
Willoughby St & Fleet St,11201
E 12 St & 3 Ave,10003
Dean St & Hoyt St,11217
Paulus Hook,7302
Jefferson Ave & Evergreen Ave,11221
Crescent St & 30 Ave,11102
6 Ave & 55 St,10019
31 Ave & Crescent St,11106
40 Ave & 9 St,11101
Metropolitan Ave & Flushing Ave,11378
24 St & 5 Ave,10010
Willis Ave & E 141 St,10454
Grant Ave & MLK Dr,7305
E 144 St & Brook Ave,10454
Grand Ave & 55 St,11378
Maple St & Albany Ave,11203
Bushwick Ave & Forrest St,11206
56 Dr & 61 St,11378
63 St & 59 Dr,11378
E 141 St & Jackson Ave,10454
21 St & 36 Ave,11106
Dean St & Franklin Ave,11238
31 Pl & Hunters Point Ave,11101
Jerome Ave & E 181 St,10453
24 St & 38 Ave,11101
E 133 St & Cypress Pl,10454
Grand Ave & 58 Ave,11378
Morris Ave & McClellan St,10456
3 Ave & E 112 St,10029
